freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.258e+02,2.971e+01,2.657e+01,6.820e+02
1.6,3.704e+02,7.204e+01,8.044e+01,5.229e+02
3.2,3.935e+01,8.908e+01,9.219e+01,2.206e+02
4.8,3.955e+02,9.337e+01,1.093e+02,5.982e+02
6.3,1.298e+03,8.576e+01,1.065e+02,1.491e+03
7.9,2.151e+03,9.976e+01,1.205e+02,2.371e+03
9.5,3.038e+03,1.033e+02,1.278e+02,3.269e+03
11.1,3.822e+03,1.108e+02,1.178e+02,4.050e+03
12.7,4.884e+03,1.080e+02,1.194e+02,5.111e+03
14.3,6.444e+03,8.791e+01,1.142e+02,6.647e+03
15.9,8.377e+03,8.449e+01,1.089e+02,8.571e+03
17.5,1.070e+04,8.512e+01,9.905e+01,1.088e+04
19.0,1.356e+04,8.744e+01,1.095e+02,1.376e+04
20.6,1.662e+04,8.929e+01,1.320e+02,1.684e+04
22.2,2.025e+04,1.089e+02,1.315e+02,2.049e+04
23.8,2.360e+04,1.336e+02,1.331e+02,2.387e+04
25.4,2.462e+04,1.483e+02,1.420e+02,2.491e+04
27.0,2.736e+04,1.322e+02,1.409e+02,2.763e+04
28.6,3.351e+04,1.332e+02,1.442e+02,3.379e+04
30.2,4.096e+04,1.448e+02,1.443e+02,4.125e+04
31.7,4.969e+04,1.557e+02,1.725e+02,5.002e+04
33.3,6.030e+04,1.728e+02,2.339e+02,6.070e+04
34.9,7.296e+04,2.515e+02,2.610e+02,7.347e+04
36.5,8.721e+04,3.409e+02,2.832e+02,8.783e+04
38.1,1.019e+05,4.029e+02,3.036e+02,1.026e+05
39.7,1.205e+05,4.848e+02,3.772e+02,1.213e+05
41.3,1.438e+05,5.757e+02,4.459e+02,1.449e+05
42.9,1.778e+05,7.475e+02,5.974e+02,1.791e+05
44.4,2.292e+05,1.050e+03,9.069e+02,2.311e+05
46.0,2.867e+05,1.344e+03,1.112e+03,2.892e+05
47.6,3.621e+05,1.715e+03,1.578e+03,3.654e+05
49.2,4.900e+05,2.729e+03,3.548e+03,4.963e+05
50.8,7.386e+05,5.186e+03,9.552e+03,7.534e+05
52.4,1.227e+06,9.399e+03,1.901e+04,1.255e+06
54.0,1.934e+06,1.467e+04,3.312e+04,1.982e+06
55.6,2.429e+06,1.985e+04,3.501e+04,2.484e+06
57.1,2.318e+06,2.411e+04,3.557e+04,2.377e+06
58.7,1.735e+06,1.963e+04,3.608e+04,1.790e+06
60.3,1.249e+06,1.323e+04,2.808e+04,1.290e+06
61.9,8.637e+05,7.180e+03,1.581e+04,8.867e+05
63.5,5.463e+05,3.138e+03,9.002e+03,5.585e+05
65.1,4.528e+05,3.830e+03,1.139e+04,4.680e+05
66.7,4.351e+05,9.413e+03,1.939e+04,4.639e+05
68.3,3.488e+05,1.342e+04,2.039e+04,3.826e+05
69.8,2.512e+05,1.157e+04,1.471e+04,2.775e+05
71.4,1.959e+05,7.005e+03,8.390e+03,2.113e+05
73.0,1.740e+05,2.779e+03,3.685e+03,1.804e+05
74.6,1.402e+05,9.966e+02,4.495e+03,1.457e+05
76.2,1.330e+05,3.372e+03,1.268e+04,1.490e+05
77.8,1.528e+05,6.844e+03,2.022e+04,1.799e+05
79.4,1.289e+05,7.740e+03,1.928e+04,1.559e+05
81.0,1.722e+05,1.032e+04,1.983e+04,2.024e+05
82.5,2.747e+05,1.216e+04,2.009e+04,3.069e+05
84.1,2.989e+05,7.341e+03,1.358e+04,3.198e+05
85.7,3.061e+05,5.486e+03,9.648e+03,3.212e+05
87.3,3.142e+05,7.730e+03,1.061e+04,3.325e+05
88.9,3.650e+05,1.233e+04,1.259e+04,3.899e+05
90.5,3.959e+05,2.044e+04,1.560e+04,4.319e+05
92.1,3.454e+05,2.647e+04,1.376e+04,3.857e+05
93.7,3.101e+05,3.754e+04,1.096e+04,3.586e+05
95.2,2.953e+05,5.148e+04,7.179e+03,3.540e+05
96.8,2.515e+05,6.355e+04,3.566e+03,3.186e+05
98.4,1.962e+05,6.267e+04,2.003e+03,2.609e+05
100.0,1.618e+05,5.726e+04,1.163e+03,2.203e+05
101.6,1.423e+05,5.297e+04,8.664e+02,1.961e+05
103.2,1.321e+05,4.945e+04,1.546e+03,1.831e+05
104.8,1.331e+05,4.427e+04,3.699e+03,1.811e+05
106.4,1.379e+05,4.383e+04,6.191e+03,1.880e+05
107.9,1.384e+05,4.801e+04,8.555e+03,1.949e+05
109.5,1.302e+05,5.206e+04,1.002e+04,1.923e+05
111.1,1.150e+05,5.383e+04,1.062e+04,1.794e+05
112.7,9.428e+04,5.204e+04,1.024e+04,1.566e+05
114.3,8.017e+04,5.384e+04,1.041e+04,1.444e+05
115.9,7.112e+04,5.831e+04,1.126e+04,1.407e+05
117.5,6.321e+04,5.979e+04,1.192e+04,1.349e+05
119.1,5.490e+04,5.770e+04,1.276e+04,1.254e+05
120.6,4.765e+04,5.002e+04,1.375e+04,1.114e+05
122.2,4.141e+04,3.795e+04,1.366e+04,9.302e+04
123.8,3.641e+04,2.546e+04,1.247e+04,7.434e+04
125.4,2.728e+04,1.543e+04,9.344e+03,5.205e+04
127.0,1.561e+04,1.131e+04,6.025e+03,3.295e+04
128.6,8.999e+03,9.699e+03,4.087e+03,2.278e+04
130.2,6.606e+03,6.350e+03,3.182e+03,1.614e+04
131.8,4.733e+03,5.806e+03,2.551e+03,1.309e+04
133.3,2.816e+03,4.743e+03,1.716e+03,9.274e+03
134.9,1.850e+03,3.685e+03,1.228e+03,6.763e+03
136.5,2.025e+03,3.433e+03,1.258e+03,6.715e+03
138.1,2.574e+03,3.464e+03,1.306e+03,7.344e+03
139.7,2.732e+03,2.979e+03,1.183e+03,6.894e+03
141.3,2.868e+03,2.615e+03,1.250e+03,6.733e+03
142.9,3.071e+03,2.448e+03,1.458e+03,6.977e+03
144.5,2.631e+03,2.194e+03,1.588e+03,6.413e+03
146.0,2.166e+03,2.078e+03,1.592e+03,5.836e+03
147.6,2.088e+03,2.003e+03,1.480e+03,5.571e+03
149.2,1.988e+03,1.937e+03,1.513e+03,5.438e+03
150.8,1.759e+03,2.140e+03,1.725e+03,5.624e+03
152.4,2.042e+03,2.726e+03,2.076e+03,6.844e+03
154.0,2.028e+03,3.934e+03,2.312e+03,8.274e+03
155.6,1.462e+03,4.703e+03,2.291e+03,8.456e+03
157.2,1.025e+03,5.360e+03,2.291e+03,8.676e+03
158.7,1.118e+03,4.291e+03,2.096e+03,7.505e+03
160.3,1.178e+03,4.121e+03,2.331e+03,7.630e+03
161.9,1.630e+03,5.484e+03,3.400e+03,1.051e+04
163.5,2.838e+03,6.497e+03,3.867e+03,1.320e+04
165.1,3.721e+03,7.199e+03,4.399e+03,1.532e+04
166.7,3.955e+03,7.909e+03,4.380e+03,1.624e+04
168.3,4.425e+03,7.995e+03,3.969e+03,1.639e+04
169.9,5.048e+03,7.170e+03,3.568e+03,1.579e+04
171.4,5.221e+03,6.412e+03,3.162e+03,1.480e+04
173.0,4.877e+03,5.559e+03,2.902e+03,1.334e+04
174.6,4.263e+03,5.349e+03,2.430e+03,1.204e+04
176.2,4.237e+03,6.205e+03,2.658e+03,1.310e+04
177.8,4.463e+03,6.419e+03,2.742e+03,1.362e+04
179.4,4.550e+03,5.820e+03,2.165e+03,1.253e+04
181.0,4.313e+03,5.558e+03,2.010e+03,1.188e+04
182.6,4.061e+03,5.472e+03,2.218e+03,1.175e+04
184.1,4.273e+03,5.186e+03,2.192e+03,1.165e+04
185.7,4.924e+03,5.306e+03,2.316e+03,1.255e+04
187.3,5.866e+03,5.922e+03,2.856e+03,1.464e+04
188.9,7.564e+03,7.483e+03,3.647e+03,1.869e+04
190.5,8.977e+03,8.761e+03,4.291e+03,2.203e+04
192.1,1.073e+04,9.676e+03,5.026e+03,2.543e+04
193.7,1.221e+04,1.031e+04,5.407e+03,2.792e+04
195.3,1.368e+04,1.247e+04,5.572e+03,3.173e+04
196.8,1.427e+04,1.256e+04,5.846e+03,3.267e+04
198.4,1.427e+04,1.198e+04,5.637e+03,3.189e+04
