freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.591e+01,2.879e+02,4.217e+01,3.459e+02
1.6,2.732e+01,1.834e+02,6.050e+01,2.712e+02
3.2,2.383e+01,5.333e+01,5.095e+01,1.281e+02
4.8,2.380e+01,4.401e+02,5.272e+01,5.167e+02
6.3,2.478e+01,1.403e+03,5.458e+01,1.483e+03
7.9,2.917e+01,2.374e+03,5.199e+01,2.455e+03
9.5,4.233e+01,3.616e+03,5.287e+01,3.712e+03
11.1,3.958e+01,5.619e+03,5.986e+01,5.718e+03
12.7,4.347e+01,6.783e+03,6.173e+01,6.888e+03
14.3,4.192e+01,7.994e+03,6.252e+01,8.098e+03
15.9,4.620e+01,1.118e+04,6.532e+01,1.129e+04
17.5,6.143e+01,1.457e+04,7.689e+01,1.471e+04
19.0,6.989e+01,1.869e+04,9.304e+01,1.885e+04
20.6,7.770e+01,2.435e+04,1.169e+02,2.454e+04
22.2,1.078e+02,3.171e+04,1.505e+02,3.197e+04
23.8,1.362e+02,4.107e+04,2.038e+02,4.141e+04
25.4,1.125e+02,5.204e+04,2.359e+02,5.239e+04
27.0,5.658e+01,6.597e+04,3.812e+02,6.641e+04
28.6,3.391e+01,8.510e+04,6.583e+02,8.580e+04
30.2,4.221e+01,1.073e+05,8.682e+02,1.082e+05
31.7,9.138e+01,1.240e+05,6.374e+02,1.248e+05
33.3,1.132e+02,1.348e+05,8.252e+02,1.358e+05
34.9,6.474e+01,1.514e+05,1.897e+03,1.534e+05
36.5,1.067e+02,2.030e+05,3.526e+03,2.066e+05
38.1,1.408e+02,3.042e+05,6.546e+03,3.109e+05
39.7,2.032e+02,4.255e+05,1.234e+04,4.381e+05
41.3,5.801e+02,4.840e+05,1.819e+04,5.028e+05
42.8,1.215e+03,4.239e+05,1.895e+04,4.441e+05
44.4,1.344e+03,3.408e+05,1.829e+04,3.604e+05
46.0,1.277e+03,2.423e+05,1.634e+04,2.599e+05
47.6,1.340e+03,1.665e+05,1.526e+04,1.831e+05
49.2,1.530e+03,1.250e+05,1.706e+04,1.436e+05
50.8,1.683e+03,9.973e+04,2.069e+04,1.221e+05
52.4,2.131e+03,7.646e+04,2.362e+04,1.022e+05
54.0,3.055e+03,5.196e+04,2.589e+04,8.091e+04
55.5,5.611e+03,3.083e+04,3.070e+04,6.713e+04
57.1,9.958e+03,1.695e+04,3.093e+04,5.784e+04
58.7,1.118e+04,8.133e+03,2.723e+04,4.654e+04
60.3,6.459e+03,5.810e+03,3.030e+04,4.257e+04
61.9,4.949e+03,4.335e+03,4.508e+04,5.436e+04
63.5,3.490e+03,5.843e+03,7.098e+04,8.032e+04
65.1,2.030e+03,1.195e+04,9.500e+04,1.090e+05
66.6,1.732e+03,1.834e+04,9.369e+04,1.138e+05
68.2,2.440e+03,2.059e+04,7.455e+04,9.758e+04
69.8,2.838e+03,2.548e+04,7.666e+04,1.050e+05
71.4,2.776e+03,3.130e+04,7.574e+04,1.098e+05
73.0,2.110e+03,3.426e+04,6.865e+04,1.050e+05
74.6,1.317e+03,3.631e+04,6.435e+04,1.020e+05
76.2,1.131e+03,3.919e+04,6.516e+04,1.055e+05
77.8,1.466e+03,3.940e+04,6.224e+04,1.031e+05
79.3,1.797e+03,3.424e+04,4.932e+04,8.536e+04
80.9,1.078e+03,2.817e+04,3.885e+04,6.810e+04
82.5,5.269e+02,2.139e+04,3.420e+04,5.612e+04
84.1,8.106e+02,1.936e+04,3.341e+04,5.358e+04
85.7,1.808e+03,1.620e+04,2.828e+04,4.629e+04
87.3,1.856e+03,1.336e+04,2.306e+04,3.828e+04
88.9,1.060e+03,1.177e+04,1.785e+04,3.068e+04
90.5,1.822e+03,1.206e+04,1.412e+04,2.800e+04
92.0,2.707e+03,1.353e+04,1.244e+04,2.868e+04
93.6,3.462e+03,1.448e+04,1.207e+04,3.002e+04
95.2,4.825e+03,1.570e+04,1.342e+04,3.394e+04
96.8,6.115e+03,1.869e+04,1.409e+04,3.889e+04
98.4,6.252e+03,2.522e+04,1.244e+04,4.390e+04
100.0,5.775e+03,3.803e+04,1.007e+04,5.387e+04
101.6,4.908e+03,5.324e+04,6.895e+03,6.504e+04
103.1,4.371e+03,6.993e+04,4.005e+03,7.830e+04
104.7,4.240e+03,8.652e+04,2.170e+03,9.293e+04
106.3,4.267e+03,1.041e+05,1.280e+03,1.097e+05
107.9,4.134e+03,1.254e+05,1.138e+03,1.306e+05
109.5,3.542e+03,1.523e+05,1.450e+03,1.573e+05
111.1,2.993e+03,1.800e+05,2.038e+03,1.851e+05
112.7,2.861e+03,1.909e+05,2.593e+03,1.963e+05
114.3,2.763e+03,1.946e+05,3.117e+03,2.005e+05
115.8,2.568e+03,1.932e+05,3.646e+03,1.994e+05
117.4,2.252e+03,1.876e+05,4.009e+03,1.938e+05
119.0,2.095e+03,1.824e+05,4.303e+03,1.888e+05
120.6,2.214e+03,1.773e+05,4.549e+03,1.841e+05
122.2,2.723e+03,1.676e+05,4.523e+03,1.749e+05
123.8,3.203e+03,1.567e+05,4.322e+03,1.642e+05
125.4,3.557e+03,1.468e+05,3.886e+03,1.543e+05
126.9,3.824e+03,1.393e+05,3.438e+03,1.465e+05
128.5,4.084e+03,1.356e+05,3.103e+03,1.428e+05
130.1,4.116e+03,1.290e+05,2.682e+03,1.358e+05
131.7,3.986e+03,1.098e+05,2.275e+03,1.161e+05
133.3,2.516e+03,4.791e+04,1.165e+03,5.159e+04
134.9,1.322e+03,7.739e+03,5.698e+02,9.631e+03
136.5,1.398e+03,6.141e+03,6.113e+02,8.151e+03
138.1,1.848e+03,6.461e+03,7.582e+02,9.067e+03
139.6,2.383e+03,5.678e+03,8.024e+02,8.864e+03
141.2,2.956e+03,5.202e+03,8.677e+02,9.026e+03
142.8,3.406e+03,4.655e+03,9.279e+02,8.989e+03
144.4,3.508e+03,4.012e+03,9.565e+02,8.477e+03
146.0,3.205e+03,3.617e+03,9.519e+02,7.774e+03
147.6,2.911e+03,3.583e+03,1.003e+03,7.496e+03
149.2,2.631e+03,3.683e+03,1.019e+03,7.333e+03
150.8,2.475e+03,3.696e+03,9.568e+02,7.128e+03
152.3,2.422e+03,3.881e+03,9.989e+02,7.302e+03
153.9,2.155e+03,3.930e+03,1.003e+03,7.087e+03
155.5,1.983e+03,3.687e+03,9.542e+02,6.625e+03
157.1,2.031e+03,3.597e+03,9.769e+02,6.605e+03
158.7,2.065e+03,3.642e+03,9.703e+02,6.677e+03
160.3,2.091e+03,3.617e+03,9.857e+02,6.694e+03
161.9,2.113e+03,3.583e+03,1.100e+03,6.796e+03
163.4,2.444e+03,3.741e+03,1.325e+03,7.509e+03
165.0,3.263e+03,4.464e+03,1.904e+03,9.631e+03
166.6,4.575e+03,5.744e+03,2.628e+03,1.295e+04
168.2,4.954e+03,6.833e+03,3.056e+03,1.484e+04
169.8,4.822e+03,7.685e+03,3.510e+03,1.602e+04
171.4,4.703e+03,8.947e+03,4.023e+03,1.767e+04
173.0,4.516e+03,1.029e+04,4.269e+03,1.907e+04
174.6,4.297e+03,9.830e+03,4.501e+03,1.863e+04
176.1,4.267e+03,9.691e+03,4.816e+03,1.877e+04
177.7,4.978e+03,1.021e+04,5.310e+03,2.050e+04
179.3,5.807e+03,1.100e+04,5.661e+03,2.247e+04
180.9,6.531e+03,1.158e+04,6.073e+03,2.419e+04
182.5,7.413e+03,1.233e+04,6.571e+03,2.632e+04
184.1,8.656e+03,1.354e+04,7.134e+03,2.933e+04
185.7,9.981e+03,1.473e+04,7.840e+03,3.255e+04
187.2,1.109e+04,1.578e+04,8.274e+03,3.515e+04
188.8,1.293e+04,1.773e+04,9.259e+03,3.991e+04
190.4,1.566e+04,2.046e+04,1.077e+04,4.689e+04
192.0,1.965e+04,2.412e+04,1.289e+04,5.666e+04
193.6,2.586e+04,2.893e+04,1.571e+04,7.050e+04
195.2,3.352e+04,3.365e+04,1.892e+04,8.609e+04
196.8,3.935e+04,3.589e+04,2.093e+04,9.616e+04
198.4,4.504e+04,3.748e+04,2.254e+04,1.051e+05
199.9,4.797e+04,3.743e+04,2.283e+04,1.082e+05
